Rank,Player,Win,Loss,Total,+/-,Win%
3,RogerFederer,327,139,466,188,70.2%
5,RafaelNadal,245,99,344,146,71.2%
1,NovakDjokovic,244,100,344,144,70.9%
2,AndyMurray,157,107,264,50,59.5%
8,DavidFerrer,126,137,263,-11,47.9%
7,TomasBerdych,106,154,260,-48,40.8%
212,LleytonHewitt,116,110,226,6,51.3%
237,TommyHaas,88,129,217,-41,40.6%
4,StanislasWawrinka,85,118,203,-33,41.9%
76,MikhailYouzhny,76,124,200,-48,38.0%
21,FelicianoLopez,70,127,197,-57,35.5%
65,FernandoVerdasco,57,133,190,-76,30.0%
41,TommyRobredo,53,136,189,-83,28.0%
30,PhilippKohlschreiber,51,128,179,-77,28.5%
10,RichardGasquet,60,115,175,-55,34.3%
154,RadekStepanek,58,114,172,-56,33.7%
9,JoWilfriedTsonga,68,95,163,-27,41.7%
204,JarkkoNieminen,32,122,154,-90,20.8%
19,GillesSimon,52,99,151,-47,34.4%
230,JuanMartinDelPotro,75,71,146,4,51.4%
16,GaelMonfils,60,86,146,-26,41.1%
42,AndreasSeppi,30,114,144,-84,20.8%
169,JurgenMelzer,36,104,140,-68,25.7%
12,MarinCilic,48,91,139,-43,34.5%
61,NicolasAlmagro,39,99,138,-60,28.3%
39,MarcosBaghdatis,45,82,127,-37,35.4%
97,JuanMonaco,37,88,125,-51,29.6%
229,MardyFish,46,76,122,-30,37.7%
62,PaulHenriMathieu,32,90,122,-58,26.2%
36,SamQuerrey,31,89,120,-58,25.8%
34,IvoKarlovic,45,74,119,-29,37.8%
227,JankoTipsarevic,31,86,117,-55,26.5%
11,JohnIsner,43,69,112,-26,38.4%
32,JeremyChardy,28,81,109,-53,25.7%
6,KeiNishikori,49,59,108,-10,45.4%
71,ErnestsGulbis,33,70,103,-37,32.0%
23,ViktorTroicki,21,82,103,-61,20.4%
38,GuillermoGarciaLopez,30,72,102,-42,29.4%
189,FlorianMayer,26,71,97,-45,26.8%
15,KevinAnderson,24,71,95,-47,25.3%
31,FabioFognini,23,71,94,-48,24.5%
14,MilosRaonic,39,54,93,-15,41.9%
129,AlbertMontanes,17,72,89,-55,19.1%
29,AlexandrDolgopolov,27,59,86,-32,31.4%
91,MarcelGranollers,19,62,81,-43,23.5%
26,GrigorDimitrov,22,58,80,-36,27.5%
78,SimoneBolelli,13,59,72,-46,18.1%
33,ThomazBellucci,13,57,70,-44,18.6%
73,DenisIstomin,12,58,70,-46,17.1%
101,BenjaminBecker,11,59,70,-48,15.7%
